matchday_no,opponent_name,opponent_table_position,date,time,away_game,overtime,tigers_win,opponent_points,tigers_points,opponent_points_1st_quarter,tigers_points_1st_quarter,opponent_points_2nd_quarter,tigers_points_2nd_quarter,opponent_points_3rd_quarter,tigers_points_3rd_quarter,opponent_points_4th_quarter,tigers_points_4th_quarter,total_amount_fans,arena_occupancy,field_goals_attempted,field_goals_made,2_pointer_percentage,3_pointer_percentage,free_throw_percentage,rebounds,assists,turnovers,steals,fouls,jackson_minutes_played,jackson_points,jackson_assists,weekday,rest_days
1,Ulm,4,01.10.2023,18:30,0,0,0,99,84,27,26,25,22,19,22,28,14,3132,100.0,60,30,61.8,34.6,55.6,30,18,19,11,31,34.8,24,5,Sunday,0
2,Bonn,7,04.10.2023,20:00,1,0,1,76,88,19,23,9,16,21,28,27,21,5570,92.8,56,28,43.9,66.7,81.5,25,14,11,9,23,33.0,27,2,Wednesday,3
3,Vechta,6,07.10.2023,20:00,1,0,0,103,72,32,20,23,22,25,16,23,14,3140,100.0,61,27,51.4,33.3,71.4,29,16,16,3,22,24.57,16,7,Saturday,3
4,Heidelberg,16,21.10.2023,20:00,0,0,0,94,84,29,28,25,12,20,23,21,20,2964,94.6,73,30,45.5,34.5,77.8,36,21,14,9,24,29.27,26,7,Saturday,14
5,Rostock,15,29.10.2023,15:30,1,1,0,108,103,22,17,17,16,21,26,33,34,4435,99.6,80,35,55.1,25.8,78.1,47,24,9,9,30,35.5,32,9,Sunday,8
6,Berlin,2,06.11.2023,20:00,0,0,0,97,81,29,27,20,22,26,16,22,16,3132,100.0,67,32,56.1,34.5,88.9,23,22,14,9,22,23.5,11,2,Monday,8
7,Chemnitz,3,12.11.2023,18:30,0,0,0,106,68,23,19,30,17,26,19,27,13,2878,91.8,55,25,63.6,18.2,70.0,24,16,21,6,25,25.59,14,5,Sunday,6
8,Braunschweig,12,18.11.2023,18:30,1,1,1,78,92,15,19,24,20,17,16,21,22,4531,71.2,82,35,58.8,16.1,81.0,47,17,15,14,22,32.53,29,3,Saturday,6
9,Oldenburg,9,26.11.2023,17:00,0,0,1,93,84,23,32,22,26,20,12,19,23,2995,95.6,64,34,53.8,52.6,62.5,23,28,10,10,23,19.43,16,3,Sunday,8
10,Crailsheim,17,02.12.2023,20:00,1,0,0,87,84,16,26,12,19,29,25,30,14,2439,81.3,65,29,62.5,27.3,94.4,50,15,27,7,29,15.48,2,1,Saturday,6
